jobtitle,scale_e,scale_n,scale_t,scale_j,satisfied
HR manager,16,16,23,22,1
HR manager,28,18,20,20,0
HR manager,28,10,16,22,1
HR manager,24,17,13,31,0
HR manager,25,13,23,10,1
HR manager,25,7,21,12,1
HR manager,23,11,7,28,1
HR manager,21,12,13,28,1
HR manager,10,18,18,25,1
HR manager,16,17,24,19,1
HR manager,11,7,23,24,1
HR manager,26,3,27,23,1
HR manager,17,18,10,24,1
HR manager,25,12,14,30,1
HR manager,16,13,8,10,1
HR manager,26,13,13,19,1
HR manager,32,11,25,27,1
HR manager,29,20,15,13,1
HR manager,13,10,22,27,1
HR manager,21,21,11,11,0
HR manager,15,12,8,13,0
HR manager,22,20,20,12,0
HR manager,16,18,22,24,1
HR manager,22,15,23,14,1
HR manager,21,17,10,14,1
HR manager,16,23,10,9,0
HR manager,30,20,11,23,1
HR manager,26,20,12,19,1
HR manager,11,12,17,24,1
HR manager,30,21,18,22,0
HR manager,21,20,29,26,0
HR manager,29,18,26,5,1
HR manager,26,12,25,28,1
HR manager,19,15,19,28,1
HR manager,28,22,12,16,1
HR manager,25,19,18,20,1
HR manager,22,11,14,32,1
HR manager,26,14,21,24,0
HR manager,14,22,9,15,1
HR manager,17,22,13,23,0
HR manager,16,19,21,22,1
HR manager,25,17,11,26,1
HR manager,26,22,21,19,1
HR manager,12,18,31,29,1
HR manager,20,9,17,8,1
HR manager,16,15,19,6,0
HR manager,28,30,12,11,0
HR manager,7,11,33,25,0
HR manager,28,21,18,26,1
HR manager,20,14,25,15,1
HR manager,9,6,18,23,0
HR manager,25,22,23,21,0
HR manager,21,10,25,25,0
HR manager,8,13,15,25,0
HR manager,15,9,13,25,0
HR manager,18,14,14,21,1
HR manager,25,19,14,20,1
HR manager,27,17,22,24,1
HR manager,21,15,12,26,1
HR manager,16,17,22,24,1
HR manager,20,14,23,29,1
HR manager,28,19,5,21,1
HR manager,15,12,12,24,0
HR manager,20,14,7,25,1
HR manager,25,20,25,19,1
HR manager,27,13,15,23,1
HR manager,10,19,14,22,0
HR manager,11,20,17,11,0
HR manager,17,22,17,22,1
HR manager,25,16,15,17,0
HR manager,14,16,18,17,1
HR manager,23,21,19,21,0
HR manager,24,7,9,24,0
HR manager,29,18,6,19,0
HR manager,28,2,25,31,1
HR manager,12,1,21,32,1
HR manager,25,19,21,14,1
HR manager,9,11,17,29,0
HR manager,25,11,22,20,1
HR manager,14,11,14,28,0
HR manager,11,23,20,12,0
HR manager,24,6,18,30,1
HR manager,33,22,22,26,1
HR manager,11,10,27,26,0
HR manager,25,10,20,25,1
HR manager,14,17,11,21,0
HR manager,18,20,17,15,0
HR manager,30,13,16,25,1
HR manager,26,13,22,19,1
HR manager,15,22,2,0,1
HR manager,26,29,14,22,1
HR manager,27,19,22,19,0
HR manager,15,18,17,23,1
HR manager,9,20,16,23,1
HR manager,18,12,12,18,0
HR manager,15,24,14,13,0
HR manager,13,14,18,26,1
HR manager,21,17,6,20,1
HR manager,17,8,6,24,1
HR manager,22,11,25,27,1
HR manager,27,18,20,8,1
HR manager,9,8,24,30,1
HR manager,23,14,30,7,1
HR manager,19,18,18,23,1
HR manager,30,14,14,32,1
HR manager,11,22,15,17,1
HR manager,30,22,17,15,1
HR manager,25,10,20,31,1
HR manager,24,17,20,25,1
HR manager,25,11,24,28,1
HR manager,19,9,20,20,0
HR manager,12,23,28,10,0
HR manager,23,22,26,18,1
HR manager,16,25,14,21,1
HR manager,16,19,21,20,0
HR manager,24,16,14,21,1
HR manager,14,23,11,13,1
HR manager,22,11,12,23,1
HR manager,11,18,20,21,1
HR manager,18,14,25,15,1
HR manager,15,24,10,11,1
HR manager,28,23,13,19,1
HR manager,26,19,22,22,1
HR manager,15,8,17,21,0
HR manager,27,11,14,26,1
HR manager,12,10,22,24,0
HR manager,12,22,18,20,0
HR manager,25,12,24,23,1
HR manager,26,19,15,5,1
HR manager,19,20,17,27,1
HR manager,8,20,29,23,1
HR manager,23,9,10,28,0
HR manager,14,19,5,9,0
HR manager,20,26,18,7,1
HR manager,22,16,22,16,1
HR manager,19,4,22,31,1
HR manager,14,22,20,9,1
HR manager,28,10,15,20,1
HR manager,19,14,16,18,1
HR manager,21,19,21,13,1
HR manager,17,17,20,21,1
HR manager,14,28,25,18,0
HR manager,13,11,29,12,1
HR manager,15,16,30,14,0
HR manager,18,18,11,26,0
HR manager,16,9,26,29,1
HR manager,16,19,11,9,0
HR manager,28,16,14,15,1
HR manager,17,17,21,22,0
HR manager,9,8,25,19,0
HR manager,28,13,16,23,1
HR manager,14,21,14,9,1
HR manager,23,16,27,28,1
HR manager,14,25,9,12,1
HR manager,23,23,24,16,0
HR manager,20,20,21,28,0
HR manager,18,13,13,20,1
HR manager,18,8,18,24,1
HR manager,25,18,19,22,1
HR manager,27,11,9,19,0
HR manager,14,17,20,24,0
HR manager,15,17,12,10,1
HR manager,20,16,15,25,1
HR manager,18,9,20,24,1
HR manager,15,14,21,27,1
HR manager,14,11,11,28,1
HR manager,19,21,20,16,1
HR manager,10,21,22,14,0
HR manager,20,17,17,22,1
HR manager,14,13,28,24,0
HR manager,19,17,23,24,1
HR manager,21,12,31,26,0
HR manager,10,9,18,31,1
HR manager,17,14,19,15,0
HR manager,13,16,4,11,1
HR manager,17,20,17,13,1
HR manager,27,20,21,1,1
HR manager,17,10,26,21,1
HR manager,13,15,11,13,1
HR manager,20,15,6,22,0
HR manager,24,16,21,12,1
HR manager,22,13,28,23,1
HR manager,19,23,18,10,1
HR manager,23,18,18,22,1
HR manager,13,1,21,29,1
HR manager,28,5,29,9,1
HR manager,18,15,19,25,0
HR manager,28,12,12,27,1
HR manager,15,21,18,12,0
HR manager,23,17,20,10,1
HR manager,23,16,12,29,0
HR manager,21,25,10,10,0
HR manager,18,20,17,17,1
HR manager,15,5,17,28,0
HR manager,10,16,17,21,0
HR manager,20,12,17,21,1
HR manager,19,13,15,19,0
HR manager,25,16,20,15,0
HR manager,21,14,18,25,1
HR manager,26,9,24,23,1
HR manager,17,7,15,32,1
HR manager,19,10,22,21,1
HR manager,16,21,16,15,0
HR manager,23,15,19,16,1
HR manager,14,17,19,15,0
HR manager,22,14,27,16,0
HR manager,24,22,21,17,1
HR manager,17,14,10,26,0
HR manager,21,14,15,20,1
HR manager,18,21,8,10,1
HR manager,18,20,18,21,1
HR manager,13,21,20,6,0
HR manager,10,10,21,15,0
HR manager,30,21,19,16,1
HR manager,8,9,13,25,1
HR manager,16,16,19,30,1
HR manager,26,24,14,1,0
HR manager,22,16,16,23,1
HR manager,21,3,31,35,1
HR manager,19,20,5,14,0
HR manager,22,23,12,12,0
HR manager,20,11,3,18,1
HR manager,17,20,22,27,1
HR manager,14,14,13,27,1
HR manager,31,9,24,30,1
HR manager,19,9,11,26,1
HR manager,13,18,11,24,0
HR manager,13,8,25,25,0
HR manager,25,11,31,33,0
HR manager,25,18,27,16,1
HR manager,12,11,10,20,0
HR manager,23,15,23,18,1
HR manager,21,18,18,16,1
HR manager,19,13,15,22,0
HR manager,20,7,21,27,1
HR manager,26,7,27,26,0
HR manager,7,19,22,16,1
HR manager,18,16,17,16,1
HR manager,25,10,20,26,1
HR manager,33,12,17,28,1
HR manager,23,15,29,24,1
HR manager,4,7,19,25,0
HR manager,24,19,14,23,1
HR manager,11,7,17,32,1
HR manager,23,14,16,15,1
HR manager,26,18,15,27,1
HR manager,21,19,23,10,0
HR manager,23,10,8,34,1
HR manager,20,13,19,23,0
HR manager,24,24,9,3,1
HR manager,13,2,21,30,1
HR manager,32,13,17,20,1
HR manager,21,9,17,24,1
HR manager,18,14,20,26,1
HR manager,22,15,8,30,1
