jobtitle,psychotype,satisfied
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,1
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Account/Sales Manager,ENFJ,0
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,1
Accountant,ENFJ,0
Accountant,ENFJ,0
Accountant,ENFJ,0
Accountant,ENFJ,0
Administrator of the trading floor,ENFJ,1
Administrator of the trading floor,ENFJ,1
Administrator of the trading floor,ENFJ,1
Administrator of the trading floor,ENFJ,0
Administrator of the trading floor,ENFJ,0
Analyst,ENFJ,1
Analyst,ENFJ,1
Analyst,ENFJ,1
Analyst,ENFJ,0
Brand manager,ENFJ,1
Brand manager,ENFJ,1
Brand manager,ENFJ,1
Brand manager,ENFJ,0
Brand manager,ENFJ,0
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,1
Businessman,ENFJ,0
Businessman,ENFJ,0
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,1
Chief Executive Officer (CEO),ENFJ,0
Chief Financial Officer,ENFJ,1
Chief Financial Officer,ENFJ,1
Commercial Director,ENFJ,1
Commercial Director,ENFJ,1
Commercial Director,ENFJ,1
Commercial Director,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,1
Consultant,ENFJ,0
Consultant,ENFJ,0
Consultant,ENFJ,0
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,1
Designer,ENFJ,0
Designer,ENFJ,0
Director of Development,ENFJ,1
Director of Development,ENFJ,1
Director of Development,ENFJ,1
Director of Development,ENFJ,1
Director of Development,ENFJ,1
Economist,ENFJ,1
Economist,ENFJ,1
Economist,ENFJ,1
Economist,ENFJ,1
Economist,ENFJ,1
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Economist,ENFJ,0
Foreman (manufacturing),ENFJ,1
Foreman (manufacturing),ENFJ,1
Foreman (manufacturing),ENFJ,1
Foreman (manufacturing),ENFJ,0
Foreman (manufacturing),ENFJ,0
General director,ENFJ,1
General director,ENFJ,1
General director,ENFJ,0
General director,ENFJ,0
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,1
HR manager,ENFJ,0
HR manager,ENFJ,0
HR manager,ENFJ,0
HR manager,ENFJ,0
HR manager,ENFJ,0
HR manager,ENFJ,0
HR manager,ENFJ,0
Head (Finance/Law),ENFJ,1
Head (Finance/Law),ENFJ,1
Head (Finance/Law),ENFJ,1
Head (Finance/Law),ENFJ,1
Head (Finance/Law),ENFJ,1
Head (medicine/education),ENFJ,1
Head (medicine/education),ENFJ,1
Head (medicine/education),ENFJ,1
Head (medicine/education),ENFJ,1
Head (personnel/public administration),ENFJ,1
Head (personnel/public administration),ENFJ,1
Head (personnel/public administration),ENFJ,1
Head (personnel/public administration),ENFJ,1
Head (personnel/public administration),ENFJ,1
Head (personnel/public administration),ENFJ,0
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,1
Head (trade/mediation),ENFJ,0
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,1
Head of Department,ENFJ,0
Head of Department,ENFJ,0
Head of Department,ENFJ,0
Head of Department,ENFJ,0
Head of Department,ENFJ,0
IT manager,ENFJ,1
IT manager,ENFJ,1
IT manager,ENFJ,0
IT manager,ENFJ,0
Journalist,ENFJ,1
Journalist,ENFJ,1
Journalist,ENFJ,1
Journalist,ENFJ,1
Journalist,ENFJ,0
Journalist,ENFJ,0
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,1
Lawyer,ENFJ,0
Lawyer,ENFJ,0
Lawyer,ENFJ,0
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,1
Marketing/Advertising Director,ENFJ,0
Marketing/Advertising Director,ENFJ,0
Marketing/Advertising Director,ENFJ,0
Marketing/Advertising Director,ENFJ,0
Marketing/Advertising Director,ENFJ,0
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,1
Office Manager,ENFJ,0
Operator (electrical appliances/mechanisms),ENFJ,1
Operator (electrical appliances/mechanisms),ENFJ,1
Operator (electrical appliances/mechanisms),ENFJ,0
Operator (electrical appliances/mechanisms),ENFJ,0
PR manager,ENFJ,1
PR manager,ENFJ,1
PR manager,ENFJ,1
PR manager,ENFJ,1
PR manager,ENFJ,1
PR manager,ENFJ,0
Programmer,ENFJ,1
Programmer,ENFJ,1
Programmer,ENFJ,0
Programmer,ENFJ,0
Recruiter,ENFJ,1
Recruiter,ENFJ,1
Recruiter,ENFJ,1
Recruiter,ENFJ,1
Recruiter,ENFJ,1
Recruiter,ENFJ,0
Regional Manager,ENFJ,1
Regional Manager,ENFJ,0
Retail Associate,ENFJ,1
Retail Associate,ENFJ,1
Retail Associate,ENFJ,1
Retail Associate,ENFJ,1
Retail Associate,ENFJ,1
Retail Associate,ENFJ,1
Retail Associate,ENFJ,0
Retail Associate,ENFJ,0
Retail Associate,ENFJ,0
Sales Agent (real estate/insurance),ENFJ,1
Sales Agent (real estate/insurance),ENFJ,1
Sales Agent (real estate/insurance),ENFJ,0
Secretary,ENFJ,1
Secretary,ENFJ,1
Secretary,ENFJ,1
Secretary,ENFJ,1
Secretary,ENFJ,1
Secretary,ENFJ,0
Secretary,ENFJ,0
Software Tester,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,1
Staff trainer,ENFJ,0
Staff trainer,ENFJ,0
Staff trainer,ENFJ,0
Staff trainer,ENFJ,0
Staff trainer,ENFJ,0
System administrator,ENFJ,1
System administrator,ENFJ,1
System administrator,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,1
Teacher,ENFJ,0
Teacher,ENFJ,0
Teacher,ENFJ,0
Wholesale Manager,ENFJ,0
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
Account/Sales Manager,ENFP,1
